Insertion sort no 99, time: 8765.8554687500000000[ms], size: 100000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 100, time: 8886.3359375000000000[ms], size: 100000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 101, time: 88.6079940795898438[ms], size: 10000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 102, time: 91.9039993286132812[ms], size: 10000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 103, time: 93.1520004272460938[ms], size: 10000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 104, time: 92.8639984130859375[ms], size: 10000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 105, time: 92.4799957275390625[ms], size: 10000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 106, time: 406.8800048828125000[ms], size: 20000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 107, time: 381.3760070800781250[ms], size: 20000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 108, time: 384.5439758300781250[ms], size: 20000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 109, time: 383.7760009765625000[ms], size: 20000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 110, time: 378.5599975585937500[ms], size: 20000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 111, time: 877.0880126953125000[ms], size: 30000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 112, time: 859.4559936523437500[ms], size: 30000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 113, time: 864.2879638671875000[ms], size: 30000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 114, time: 858.3999633789062500[ms], size: 30000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 115, time: 888.4479980468750000[ms], size: 30000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 116, time: 1554.0159912109375000[ms], size: 40000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 117, time: 1501.1520996093750000[ms], size: 40000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 118, time: 1507.7760009765625000[ms], size: 40000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 119, time: 1524.1600341796875000[ms], size: 40000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 120, time: 1511.2639160156250000[ms], size: 40000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 121, time: 2405.2480468750000000[ms], size: 50000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 122, time: 2390.0161132812500000[ms], size: 50000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 123, time: 2360.2878417968750000[ms], size: 50000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 124, time: 2367.9040527343750000[ms], size: 50000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 125, time: 2353.7919921875000000[ms], size: 50000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 126, time: 3403.8720703125000000[ms], size: 60000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 127, time: 3413.5039062500000000[ms], size: 60000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 128, time: 3426.7199707031250000[ms], size: 60000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 129, time: 3441.5678710937500000[ms], size: 60000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 130, time: 3446.8159179687500000[ms], size: 60000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 131, time: 4658.1118164062500000[ms], size: 70000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 132, time: 4649.6958007812500000[ms], size: 70000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 133, time: 4659.0078125000000000[ms], size: 70000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 134, time: 4665.7602539062500000[ms], size: 70000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 135, time: 4641.5683593750000000[ms], size: 70000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 136, time: 6139.2641601562500000[ms], size: 80000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 137, time: 6098.8159179687500000[ms], size: 80000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 138, time: 6071.6479492187500000[ms], size: 80000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 139, time: 6048.8959960937500000[ms], size: 80000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 140, time: 6086.3359375000000000[ms], size: 80000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 141, time: 7681.6640625000000000[ms], size: 90000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 142, time: 7728.0639648437500000[ms], size: 90000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 143, time: 7709.8559570312500000[ms], size: 90000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 144, time: 7696.6718750000000000[ms], size: 90000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 145, time: 7708.8642578125000000[ms], size: 90000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 146, time: 9396.9277343750000000[ms], size: 100000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 147, time: 9545.1513671875000000[ms], size: 100000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 148, time: 9477.2480468750000000[ms], size: 100000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 149, time: 9502.1435546875000000[ms], size: 100000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 150, time: 9604.8642578125000000[ms], size: 100000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 151, time: 134.0160064697265625[ms], size: 10000, pre-sorting: 0.00, options: type : float 
Insertion sort no 152, time: 127.8720016479492188[ms], size: 10000, pre-sorting: 0.00, options: type : float 
Insertion sort no 153, time: 125.6960067749023438[ms], size: 10000, pre-sorting: 0.00, options: type : float 
Insertion sort no 154, time: 124.2239990234375000[ms], size: 10000, pre-sorting: 0.00, options: type : float 
Insertion sort no 155, time: 126.9759979248046875[ms], size: 10000, pre-sorting: 0.00, options: type : float 
Insertion sort no 156, time: 490.6240234375000000[ms], size: 20000, pre-sorting: 0.00, options: type : float 
Insertion sort no 157, time: 481.5360107421875000[ms], size: 20000, pre-sorting: 0.00, options: type : float 
Insertion sort no 158, time: 479.0400085449218750[ms], size: 20000, pre-sorting: 0.00, options: type : float 
Insertion sort no 159, time: 501.2480163574218750[ms], size: 20000, pre-sorting: 0.00, options: type : float 
Insertion sort no 160, time: 491.9680175781250000[ms], size: 20000, pre-sorting: 0.00, options: type : float 
Insertion sort no 161, time: 1094.4639892578125000[ms], size: 30000, pre-sorting: 0.00, options: type : float 
Insertion sort no 162, time: 1093.5679931640625000[ms], size: 30000, pre-sorting: 0.00, options: type : float 
Insertion sort no 163, time: 1098.6879882812500000[ms], size: 30000, pre-sorting: 0.00, options: type : float 
Insertion sort no 164, time: 1096.7680664062500000[ms], size: 30000, pre-sorting: 0.00, options: type : float 
Insertion sort no 165, time: 1087.0399169921875000[ms], size: 30000, pre-sorting: 0.00, options: type : float 
Insertion sort no 166, time: 1915.2640380859375000[ms], size: 40000, pre-sorting: 0.00, options: type : float 
Insertion sort no 167, time: 1907.9680175781250000[ms], size: 40000, pre-sorting: 0.00, options: type : float 
Insertion sort no 168, time: 1955.5200195312500000[ms], size: 40000, pre-sorting: 0.00, options: type : float 
Insertion sort no 169, time: 1923.6479492187500000[ms], size: 40000, pre-sorting: 0.00, options: type : float 
Insertion sort no 170, time: 1915.6479492187500000[ms], size: 40000, pre-sorting: 0.00, options: type : float 
Insertion sort no 171, time: 2970.3039550781250000[ms], size: 50000, pre-sorting: 0.00, options: type : float 
Insertion sort no 172, time: 2970.1120605468750000[ms], size: 50000, pre-sorting: 0.00, options: type : float 
Insertion sort no 173, time: 2972.6718750000000000[ms], size: 50000, pre-sorting: 0.00, options: type : float 
Insertion sort no 174, time: 3022.7839355468750000[ms], size: 50000, pre-sorting: 0.00, options: type : float 
Insertion sort no 175, time: 3020.6721191406250000[ms], size: 50000, pre-sorting: 0.00, options: type : float 
Insertion sort no 176, time: 4369.5996093750000000[ms], size: 60000, pre-sorting: 0.00, options: type : float 
Insertion sort no 177, time: 4433.6000976562500000[ms], size: 60000, pre-sorting: 0.00, options: type : float 
Insertion sort no 178, time: 4363.2641601562500000[ms], size: 60000, pre-sorting: 0.00, options: type : float 
Insertion sort no 179, time: 4396.0317382812500000[ms], size: 60000, pre-sorting: 0.00, options: type : float 
Insertion sort no 180, time: 4311.8720703125000000[ms], size: 60000, pre-sorting: 0.00, options: type : float 
Insertion sort no 181, time: 5912.4477539062500000[ms], size: 70000, pre-sorting: 0.00, options: type : float 
Insertion sort no 182, time: 5850.7519531250000000[ms], size: 70000, pre-sorting: 0.00, options: type : float 
Insertion sort no 183, time: 5853.6318359375000000[ms], size: 70000, pre-sorting: 0.00, options: type : float 
Insertion sort no 184, time: 5950.6557617187500000[ms], size: 70000, pre-sorting: 0.00, options: type : float 
Insertion sort no 185, time: 6004.3520507812500000[ms], size: 70000, pre-sorting: 0.00, options: type : float 
Insertion sort no 186, time: 7962.1757812500000000[ms], size: 80000, pre-sorting: 0.00, options: type : float 
Insertion sort no 187, time: 7685.3759765625000000[ms], size: 80000, pre-sorting: 0.00, options: type : float 
Insertion sort no 188, time: 7783.4877929687500000[ms], size: 80000, pre-sorting: 0.00, options: type : float 
Insertion sort no 189, time: 7854.2080078125000000[ms], size: 80000, pre-sorting: 0.00, options: type : float 
Insertion sort no 190, time: 7745.8559570312500000[ms], size: 80000, pre-sorting: 0.00, options: type : float 
Insertion sort no 191, time: 9608.3837890625000000[ms], size: 90000, pre-sorting: 0.00, options: type : float 
Insertion sort no 192, time: 9669.1835937500000000[ms], size: 90000, pre-sorting: 0.00, options: type : float 
Insertion sort no 193, time: 9699.3281250000000000[ms], size: 90000, pre-sorting: 0.00, options: type : float 
Insertion sort no 194, time: 9799.8720703125000000[ms], size: 90000, pre-sorting: 0.00, options: type : float 
Insertion sort no 195, time: 9808.8964843750000000[ms], size: 90000, pre-sorting: 0.00, options: type : float 
Insertion sort no 196, time: 11991.8076171875000000[ms], size: 100000, pre-sorting: 0.00, options: type : float 
Insertion sort no 197, time: 11886.8486328125000000[ms], size: 100000, pre-sorting: 0.00, options: type : float 
Insertion sort no 198, time: 12088.8320312500000000[ms], size: 100000, pre-sorting: 0.00, options: type : float 
Insertion sort no 199, time: 12043.9677734375000000[ms], size: 100000, pre-sorting: 0.00, options: type : float 
Insertion sort no 200, time: 11989.8242187500000000[ms], size: 100000, pre-sorting: 0.00, options: type : float 
Insertion sort no 201, time: 70.5279998779296875[ms], size: 10000, pre-sorting: 0.50, options: type : float 
Insertion sort no 202, time: 78.0800018310546875[ms], size: 10000, pre-sorting: 0.50, options: type : float 
Insertion sort no 203, time: 83.5839996337890625[ms], size: 10000, pre-sorting: 0.50, options: type : float 
Insertion sort no 204, time: 85.1200027465820312[ms], size: 10000, pre-sorting: 0.50, options: type : float 
Insertion sort no 205, time: 84.5440063476562500[ms], size: 10000, pre-sorting: 0.50, options: type : float 
Insertion sort no 206, time: 407.5520019531250000[ms], size: 20000, pre-sorting: 0.50, options: type : float 
Insertion sort no 207, time: 369.7279968261718750[ms], size: 20000, pre-sorting: 0.50, options: type : float 
Insertion sort no 208, time: 363.9039916992187500[ms], size: 20000, pre-sorting: 0.50, options: type : float 
Insertion sort no 209, time: 380.3519897460937500[ms], size: 20000, pre-sorting: 0.50, options: type : float 
Insertion sort no 210, time: 362.6880187988281250[ms], size: 20000, pre-sorting: 0.50, options: type : float 
Insertion sort no 211, time: 838.2719726562500000[ms], size: 30000, pre-sorting: 0.50, options: type : float 
Insertion sort no 212, time: 806.8479614257812500[ms], size: 30000, pre-sorting: 0.50, options: type : float 
Insertion sort no 213, time: 860.9279785156250000[ms], size: 30000, pre-sorting: 0.50, options: type : float 
Insertion sort no 214, time: 837.5040283203125000[ms], size: 30000, pre-sorting: 0.50, options: type : float 
Insertion sort no 215, time: 857.2160034179687500[ms], size: 30000, pre-sorting: 0.50, options: type : float 
Insertion sort no 216, time: 1589.5679931640625000[ms], size: 40000, pre-sorting: 0.50, options: type : float 
Insertion sort no 217, time: 1632.8320312500000000[ms], size: 40000, pre-sorting: 0.50, options: type : float 
Insertion sort no 218, time: 1580.1600341796875000[ms], size: 40000, pre-sorting: 0.50, options: type : float 
Insertion sort no 219, time: 1582.6560058593750000[ms], size: 40000, pre-sorting: 0.50, options: type : float 
Insertion sort no 220, time: 1645.5679931640625000[ms], size: 40000, pre-sorting: 0.50, options: type : float 
Insertion sort no 221, time: 2447.8081054687500000[ms], size: 50000, pre-sorting: 0.50, options: type : float 
Insertion sort no 222, time: 2419.7758789062500000[ms], size: 50000, pre-sorting: 0.50, options: type : float 
Insertion sort no 223, time: 2367.9357910156250000[ms], size: 50000, pre-sorting: 0.50, options: type : float 
Insertion sort no 224, time: 2315.9038085937500000[ms], size: 50000, pre-sorting: 0.50, options: type : float 
Insertion sort no 225, time: 2389.8879394531250000[ms], size: 50000, pre-sorting: 0.50, options: type : float 
Insertion sort no 226, time: 3417.4079589843750000[ms], size: 60000, pre-sorting: 0.50, options: type : float 
Insertion sort no 227, time: 3279.2319335937500000[ms], size: 60000, pre-sorting: 0.50, options: type : float 
Insertion sort no 228, time: 3402.1757812500000000[ms], size: 60000, pre-sorting: 0.50, options: type : float 
Insertion sort no 229, time: 3292.8000488281250000[ms], size: 60000, pre-sorting: 0.50, options: type : float 
Insertion sort no 230, time: 3365.8881835937500000[ms], size: 60000, pre-sorting: 0.50, options: type : float 
Insertion sort no 231, time: 4542.3999023437500000[ms], size: 70000, pre-sorting: 0.50, options: type : float 
Insertion sort no 232, time: 4456.5122070312500000[ms], size: 70000, pre-sorting: 0.50, options: type : float 
Insertion sort no 233, time: 4439.0400390625000000[ms], size: 70000, pre-sorting: 0.50, options: type : float 
Insertion sort no 234, time: 4396.9277343750000000[ms], size: 70000, pre-sorting: 0.50, options: type : float 
Insertion sort no 235, time: 4753.2802734375000000[ms], size: 70000, pre-sorting: 0.50, options: type : float 
Insertion sort no 236, time: 6484.5439453125000000[ms], size: 80000, pre-sorting: 0.50, options: type : float 
Insertion sort no 237, time: 5966.2719726562500000[ms], size: 80000, pre-sorting: 0.50, options: type : float 
Insertion sort no 238, time: 5926.5278320312500000[ms], size: 80000, pre-sorting: 0.50, options: type : float 
Insertion sort no 239, time: 5714.0478515625000000[ms], size: 80000, pre-sorting: 0.50, options: type : float 
Insertion sort no 240, time: 5602.4316406250000000[ms], size: 80000, pre-sorting: 0.50, options: type : float 
Insertion sort no 241, time: 7146.1118164062500000[ms], size: 90000, pre-sorting: 0.50, options: type : float 
Insertion sort no 242, time: 7164.9916992187500000[ms], size: 90000, pre-sorting: 0.50, options: type : float 
Insertion sort no 243, time: 7614.1440429687500000[ms], size: 90000, pre-sorting: 0.50, options: type : float 
Insertion sort no 244, time: 7177.9843750000000000[ms], size: 90000, pre-sorting: 0.50, options: type : float 
Insertion sort no 245, time: 7104.0000000000000000[ms], size: 90000, pre-sorting: 0.50, options: type : float 
Insertion sort no 246, time: 8803.3925781250000000[ms], size: 100000, pre-sorting: 0.50, options: type : float 
Insertion sort no 247, time: 8937.0878906250000000[ms], size: 100000, pre-sorting: 0.50, options: type : float 
Insertion sort no 248, time: 9300.8642578125000000[ms], size: 100000, pre-sorting: 0.50, options: type : float 
Insertion sort no 249, time: 9824.2558593750000000[ms], size: 100000, pre-sorting: 0.50, options: type : float 
Insertion sort no 250, time: 9087.1035156250000000[ms], size: 100000, pre-sorting: 0.50, options: type : float 
Insertion sort no 251, time: 92.7360000610351562[ms], size: 10000, pre-sorting: 0.33, options: type : float 
Insertion sort no 252, time: 97.3440017700195312[ms], size: 10000, pre-sorting: 0.33, options: type : float 
Insertion sort no 253, time: 97.3440017700195312[ms], size: 10000, pre-sorting: 0.33, options: type : float 
Insertion sort no 254, time: 97.4720001220703125[ms], size: 10000, pre-sorting: 0.33, options: type : float 
Insertion sort no 255, time: 98.7519989013671875[ms], size: 10000, pre-sorting: 0.33, options: type : float 
Insertion sort no 256, time: 419.1359863281250000[ms], size: 20000, pre-sorting: 0.33, options: type : float 
Insertion sort no 257, time: 395.1359863281250000[ms], size: 20000, pre-sorting: 0.33, options: type : float 
Insertion sort no 258, time: 404.7999877929687500[ms], size: 20000, pre-sorting: 0.33, options: type : float 
Insertion sort no 259, time: 401.6000061035156250[ms], size: 20000, pre-sorting: 0.33, options: type : float 
Insertion sort no 260, time: 387.3920288085937500[ms], size: 20000, pre-sorting: 0.33, options: type : float 
Insertion sort no 261, time: 900.7999877929687500[ms], size: 30000, pre-sorting: 0.33, options: type : float 
Insertion sort no 262, time: 884.9279785156250000[ms], size: 30000, pre-sorting: 0.33, options: type : float 
Insertion sort no 263, time: 877.6320190429687500[ms], size: 30000, pre-sorting: 0.33, options: type : float 
Insertion sort no 264, time: 879.2319946289062500[ms], size: 30000, pre-sorting: 0.33, options: type : float 
