Shell sort no 154, time: 1.8519999980926514[ms], size: 7000, pre-sorting: 0.00, options: gaps: curie 
Shell sort no 155, time: 2.0179998874664307[ms], size: 7000, pre-sorting: 0.50, options: gaps: curie 
Shell sort no 156, time: 2.2639999389648438[ms], size: 7000, pre-sorting: 0.33, options: gaps: curie 
Quick sort no 157, time: 1.1220000982284546[ms], size: 7000, pre-sorting: 0.00, options: pivot : left 
Quick sort no 158, time: 1.0189999341964722[ms], size: 7000, pre-sorting: 0.50, options: pivot : left 
Quick sort no 159, time: 1.0089999437332153[ms], size: 7000, pre-sorting: 0.33, options: pivot : left 
Quick sort no 160, time: 1.0369999408721924[ms], size: 7000, pre-sorting: 0.00, options: pivot : right 
Quick sort no 161, time: 1.0189999341964722[ms], size: 7000, pre-sorting: 0.50, options: pivot : right 
Quick sort no 162, time: 1.0180000066757202[ms], size: 7000, pre-sorting: 0.33, options: pivot : right 
Quick sort no 163, time: 0.9929999709129333[ms], size: 7000, pre-sorting: 0.00, options: pivot : mid 
Quick sort no 164, time: 0.9689999818801880[ms], size: 7000, pre-sorting: 0.50, options: pivot : mid 
Quick sort no 165, time: 0.9759999513626099[ms], size: 7000, pre-sorting: 0.33, options: pivot : mid 
Quick sort no 166, time: 1.1030000448226929[ms], size: 7000, pre-sorting: 0.00, options: pivot : random 
Quick sort no 167, time: 1.1499999761581421[ms], size: 7000, pre-sorting: 0.50, options: pivot : random 
Quick sort no 168, time: 1.2879999876022339[ms], size: 7000, pre-sorting: 0.33, options: pivot : random 
Insertion sort no 169, time: 79.9359970092773438[ms], size: 8000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 170, time: 79.2710037231445312[ms], size: 8000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 171, time: 79.6699981689453125[ms], size: 8000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 172, time: 79.7720031738281250[ms], size: 8000, pre-sorting: 0.00, options: type : float 
Insertion sort no 173, time: 80.3479995727539062[ms], size: 8000, pre-sorting: 0.50, options: type : float 
Insertion sort no 174, time: 78.9809951782226562[ms], size: 8000, pre-sorting: 0.33, options: type : float 
Shell sort no 175, time: 2.2829999923706055[ms], size: 8000, pre-sorting: 0.00, options: gaps: pow2 
Shell sort no 176, time: 2.2579998970031738[ms], size: 8000, pre-sorting: 0.50, options: gaps: pow2 
Shell sort no 177, time: 2.4240000247955322[ms], size: 8000, pre-sorting: 0.33, options: gaps: pow2 
Shell sort no 178, time: 2.3889999389648438[ms], size: 8000, pre-sorting: 0.00, options: gaps: curie 
Shell sort no 179, time: 2.3089997768402100[ms], size: 8000, pre-sorting: 0.50, options: gaps: curie 
Shell sort no 180, time: 2.8369998931884766[ms], size: 8000, pre-sorting: 0.33, options: gaps: curie 
Quick sort no 181, time: 1.1710000038146973[ms], size: 8000, pre-sorting: 0.00, options: pivot : left 
Quick sort no 182, time: 1.1899999380111694[ms], size: 8000, pre-sorting: 0.50, options: pivot : left 
Quick sort no 183, time: 1.3020000457763672[ms], size: 8000, pre-sorting: 0.33, options: pivot : left 
Quick sort no 184, time: 1.1879999637603760[ms], size: 8000, pre-sorting: 0.00, options: pivot : right 
Quick sort no 185, time: 1.1640000343322754[ms], size: 8000, pre-sorting: 0.50, options: pivot : right 
Quick sort no 186, time: 1.5470000505447388[ms], size: 8000, pre-sorting: 0.33, options: pivot : right 
Quick sort no 187, time: 1.2220000028610229[ms], size: 8000, pre-sorting: 0.00, options: pivot : mid 
Quick sort no 188, time: 1.2300000190734863[ms], size: 8000, pre-sorting: 0.50, options: pivot : mid 
Quick sort no 189, time: 1.1330000162124634[ms], size: 8000, pre-sorting: 0.33, options: pivot : mid 
Quick sort no 190, time: 1.7509999275207520[ms], size: 8000, pre-sorting: 0.00, options: pivot : random 
Quick sort no 191, time: 1.2939999103546143[ms], size: 8000, pre-sorting: 0.50, options: pivot : random 
Quick sort no 192, time: 1.2680000066757202[ms], size: 8000, pre-sorting: 0.33, options: pivot : random 
Insertion sort no 193, time: 98.1609954833984375[ms], size: 9000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 194, time: 99.6019973754882812[ms], size: 9000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 195, time: 99.2050018310546875[ms], size: 9000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 196, time: 99.5790023803710938[ms], size: 9000, pre-sorting: 0.00, options: type : float 
Insertion sort no 197, time: 100.1900024414062500[ms], size: 9000, pre-sorting: 0.50, options: type : float 
Insertion sort no 198, time: 102.0680007934570312[ms], size: 9000, pre-sorting: 0.33, options: type : float 
Shell sort no 199, time: 2.6990001201629639[ms], size: 9000, pre-sorting: 0.00, options: gaps: pow2 
Shell sort no 200, time: 2.5490000247955322[ms], size: 9000, pre-sorting: 0.50, options: gaps: pow2 
Shell sort no 201, time: 2.8699998855590820[ms], size: 9000, pre-sorting: 0.33, options: gaps: pow2 
Shell sort no 202, time: 2.5770001411437988[ms], size: 9000, pre-sorting: 0.00, options: gaps: curie 
Shell sort no 203, time: 2.6019999980926514[ms], size: 9000, pre-sorting: 0.50, options: gaps: curie 
Shell sort no 204, time: 2.6210000514984131[ms], size: 9000, pre-sorting: 0.33, options: gaps: curie 
Quick sort no 205, time: 1.3339999914169312[ms], size: 9000, pre-sorting: 0.00, options: pivot : left 
Quick sort no 206, time: 1.3140000104904175[ms], size: 9000, pre-sorting: 0.50, options: pivot : left 
Quick sort no 207, time: 1.4400000572204590[ms], size: 9000, pre-sorting: 0.33, options: pivot : left 
Quick sort no 208, time: 1.3919999599456787[ms], size: 9000, pre-sorting: 0.00, options: pivot : right 
Quick sort no 209, time: 1.3320000171661377[ms], size: 9000, pre-sorting: 0.50, options: pivot : right 
Quick sort no 210, time: 1.4029999971389771[ms], size: 9000, pre-sorting: 0.33, options: pivot : right 
Quick sort no 211, time: 1.4730000495910645[ms], size: 9000, pre-sorting: 0.00, options: pivot : mid 
Quick sort no 212, time: 1.3569999933242798[ms], size: 9000, pre-sorting: 0.50, options: pivot : mid 
Quick sort no 213, time: 1.2789999246597290[ms], size: 9000, pre-sorting: 0.33, options: pivot : mid 
Quick sort no 214, time: 1.4850000143051147[ms], size: 9000, pre-sorting: 0.00, options: pivot : random 
Quick sort no 215, time: 1.4440000057220459[ms], size: 9000, pre-sorting: 0.50, options: pivot : random 
Quick sort no 216, time: 1.5059999227523804[ms], size: 9000, pre-sorting: 0.33, options: pivot : random 
Insertion sort no 217, time: 122.6989974975585938[ms], size: 10000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 218, time: 124.5919952392578125[ms], size: 10000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 219, time: 120.6539993286132812[ms], size: 10000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 220, time: 125.4400024414062500[ms], size: 10000, pre-sorting: 0.00, options: type : float 
Insertion sort no 221, time: 122.0970001220703125[ms], size: 10000, pre-sorting: 0.50, options: type : float 
Insertion sort no 222, time: 122.6200027465820312[ms], size: 10000, pre-sorting: 0.33, options: type : float 
Shell sort no 223, time: 2.9370000362396240[ms], size: 10000, pre-sorting: 0.00, options: gaps: pow2 
Shell sort no 224, time: 2.9470000267028809[ms], size: 10000, pre-sorting: 0.50, options: gaps: pow2 
Shell sort no 225, time: 3.0720000267028809[ms], size: 10000, pre-sorting: 0.33, options: gaps: pow2 
Shell sort no 226, time: 3.0230000019073486[ms], size: 10000, pre-sorting: 0.00, options: gaps: curie 
Shell sort no 227, time: 3.3730001449584961[ms], size: 10000, pre-sorting: 0.50, options: gaps: curie 
Shell sort no 228, time: 2.8849999904632568[ms], size: 10000, pre-sorting: 0.33, options: gaps: curie 
Quick sort no 229, time: 1.4919999837875366[ms], size: 10000, pre-sorting: 0.00, options: pivot : left 
Quick sort no 230, time: 1.8269999027252197[ms], size: 10000, pre-sorting: 0.50, options: pivot : left 
Quick sort no 231, time: 1.6019999980926514[ms], size: 10000, pre-sorting: 0.33, options: pivot : left 
Quick sort no 232, time: 1.6529999971389771[ms], size: 10000, pre-sorting: 0.00, options: pivot : right 
Quick sort no 233, time: 1.6519999504089355[ms], size: 10000, pre-sorting: 0.50, options: pivot : right 
Quick sort no 234, time: 2.5309998989105225[ms], size: 10000, pre-sorting: 0.33, options: pivot : right 
Quick sort no 235, time: 2.3179998397827148[ms], size: 10000, pre-sorting: 0.00, options: pivot : mid 
Quick sort no 236, time: 1.4469999074935913[ms], size: 10000, pre-sorting: 0.50, options: pivot : mid 
Quick sort no 237, time: 1.5740000009536743[ms], size: 10000, pre-sorting: 0.33, options: pivot : mid 
Quick sort no 238, time: 2.2209999561309814[ms], size: 10000, pre-sorting: 0.00, options: pivot : random 
Quick sort no 239, time: 2.8589999675750732[ms], size: 10000, pre-sorting: 0.50, options: pivot : random 
Quick sort no 240, time: 2.8079998493194580[ms], size: 10000, pre-sorting: 0.33, options: pivot : random 
Insertion sort no 241, time: 1.3799999952316284[ms], size: 1000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 242, time: 1.4390000104904175[ms], size: 1000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 243, time: 1.5299999713897705[ms], size: 1000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 244, time: 1.3510000705718994[ms], size: 1000, pre-sorting: 0.00, options: type : float 
Insertion sort no 245, time: 1.4179999828338623[ms], size: 1000, pre-sorting: 0.50, options: type : float 
Insertion sort no 246, time: 1.3630000352859497[ms], size: 1000, pre-sorting: 0.33, options: type : float 
Shell sort no 247, time: 0.1780000030994415[ms], size: 1000, pre-sorting: 0.00, options: gaps: pow2 
Shell sort no 248, time: 0.2229999899864197[ms], size: 1000, pre-sorting: 0.50, options: gaps: pow2 
Shell sort no 249, time: 0.1979999989271164[ms], size: 1000, pre-sorting: 0.33, options: gaps: pow2 
Shell sort no 250, time: 0.1920000016689301[ms], size: 1000, pre-sorting: 0.00, options: gaps: curie 
Shell sort no 251, time: 0.2240000069141388[ms], size: 1000, pre-sorting: 0.50, options: gaps: curie 
Shell sort no 252, time: 0.2099999934434891[ms], size: 1000, pre-sorting: 0.33, options: gaps: curie 
Quick sort no 253, time: 0.1330000013113022[ms], size: 1000, pre-sorting: 0.00, options: pivot : left 
Quick sort no 254, time: 0.1309999972581863[ms], size: 1000, pre-sorting: 0.50, options: pivot : left 
Quick sort no 255, time: 0.1289999932050705[ms], size: 1000, pre-sorting: 0.33, options: pivot : left 
Quick sort no 256, time: 0.1360000073909760[ms], size: 1000, pre-sorting: 0.00, options: pivot : right 
Quick sort no 257, time: 0.1360000073909760[ms], size: 1000, pre-sorting: 0.50, options: pivot : right 
Quick sort no 258, time: 0.1199999973177910[ms], size: 1000, pre-sorting: 0.33, options: pivot : right 
Quick sort no 259, time: 0.1180000007152557[ms], size: 1000, pre-sorting: 0.00, options: pivot : mid 
Quick sort no 260, time: 0.1209999993443489[ms], size: 1000, pre-sorting: 0.50, options: pivot : mid 
Quick sort no 261, time: 0.1160000041127205[ms], size: 1000, pre-sorting: 0.33, options: pivot : mid 
Quick sort no 262, time: 0.1369999945163727[ms], size: 1000, pre-sorting: 0.00, options: pivot : random 
Quick sort no 263, time: 0.1360000073909760[ms], size: 1000, pre-sorting: 0.50, options: pivot : random 
Quick sort no 264, time: 0.1319999992847443[ms], size: 1000, pre-sorting: 0.33, options: pivot : random 
Insertion sort no 265, time: 4.8179998397827148[ms], size: 2000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 266, time: 5.3539996147155762[ms], size: 2000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 267, time: 4.9899997711181641[ms], size: 2000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 268, time: 5.0980000495910645[ms], size: 2000, pre-sorting: 0.00, options: type : float 
Insertion sort no 269, time: 5.1350002288818359[ms], size: 2000, pre-sorting: 0.50, options: type : float 
Insertion sort no 270, time: 5.1930003166198730[ms], size: 2000, pre-sorting: 0.33, options: type : float 
